Time,axis0_aileron,axis1_elevator,axis2_throttle_all,axis3_rudder,indicated-altitude-ft,indicated-speed-kt,indicated-speed-fpm,indicated-track-magnetic-deg,indicated-heading-deg,airspeed-kt,groundspeed-kt,altitude-agl-ft,altitude-ft,latitude-deg,longitude-deg,balloon-lat,balloon-lon,balloon-alt,balloon-level,balloon-hit,balloons-count,balloon-scoring-closest-ft
2.76667,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-14.0360317,7.477603256,-1387.924323,350.4941258,87.18492144,2.512719751,5.825487708e-06,5.169958822,35.16064336,19.72137998,-155.0578101,,,,,,,
2.76667,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-14.0360317,7.477603256,-1387.924323,350.4941258,87.18492144,2.512719751,5.825487708e-06,5.169958822,35.16064336,19.72137998,-155.0578101,,,,,,,
2.79167,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-14.94586381,7.513640758,-1396.925713,350.4941258,88.09199648,2.505399353,2.265133228e-05,5.169958693,35.16064417,19.72137998,-155.0578101,,,,,,,
2.81667,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-15.625273,7.462259751,-1402.118975,350.4941258,88.60604114,2.499932068,5.097485775e-05,5.169958635,35.16064491,19.72137998,-155.0578101,,,,,,,
2.84167,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-16.30270655,7.454059515,-1407.272693,350.4941258,89.00285405,2.49448151,9.510144305e-05,5.169959762,35.1606459,19.72137998,-155.0578101,,,,,,,
2.84167,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-16.30270655,7.454059515,-1407.272693,350.4941258,89.00285405,2.49448151,9.510144305e-05,5.169959762,35.1606459,19.72137998,-155.0578101,,,,,,,
2.93333,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-16.97893711,7.456717327,-1412.3701,350.4941258,89.30337778,2.489045181,0.0001577895587,5.169962288,35.16064724,19.72137998,-155.0578101,,,,,,,
2.93333,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-16.97893711,7.456717327,-1412.3701,350.4941258,89.30337778,2.489045181,0.0001577895587,5.169962288,35.16064724,19.72137998,-155.0578101,,,,,,,
2.93333,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-16.97893711,7.456717327,-1412.3701,350.4941258,89.30337778,2.489045181,0.0001577895587,5.169962288,35.16064724,19.72137998,-155.0578101,,,,,,,
2.93333,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-16.97893711,7.456717327,-1412.3701,350.4941258,89.30337778,2.489045181,0.0001577895587,5.169962288,35.16064724,19.72137998,-155.0578101,,,,,,,
2.975,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-19.74850685,7.05388549,-1449.839629,350.4941258,89.86049505,2.469207758,0.0005782115351,5.169977665,35.16065824,19.72137998,-155.0578101,,,,,,,
